,Source,Target,weight,start,end
402,Asia,Asia,0.3865011217516009,1973-01-01,1973-12-31
403,Asia,Africa,0.028988915394796557,1973-01-01,1973-12-31
404,Asia,Oceania,0.06407244895177161,1973-01-01,1973-12-31
405,Asia,Europe,0.24744417223558976,1973-01-01,1973-12-31
406,Asia,North America,0.248797375866061,1973-01-01,1973-12-31
407,Asia,South America,0.024195965800180193,1973-01-01,1973-12-31
408,Oceania,Oceania,0.14392044462318887,1973-01-01,1973-12-31
409,Oceania,Africa,0.009720319140024993,1973-01-01,1973-12-31
410,Oceania,Asia,0.2822643327474226,1973-01-01,1973-12-31
411,Oceania,Europe,0.351789888102395,1973-01-01,1973-12-31
412,Oceania,North America,0.208361417520617,1973-01-01,1973-12-31
413,Oceania,South America,0.003943597866351563,1973-01-01,1973-12-31
414,Europe,Europe,0.7099422441690622,1973-01-01,1973-12-31
415,Europe,Africa,0.05005359109810161,1973-01-01,1973-12-31
416,Europe,Asia,0.0910560593403283,1973-01-01,1973-12-31
417,Europe,Oceania,0.013872102589952725,1973-01-01,1973-12-31
418,Europe,North America,0.10628345889682432,1973-01-01,1973-12-31
419,Europe,South America,0.028792543905730914,1973-01-01,1973-12-31
420,North America,North America,0.4373141906268519,1973-01-01,1973-12-31
421,North America,Africa,0.024336979747789027,1973-01-01,1973-12-31
422,North America,Asia,0.21327514197502775,1973-01-01,1973-12-31
423,North America,Oceania,0.020532858460181817,1973-01-01,1973-12-31
424,North America,Europe,0.26130902284377494,1973-01-01,1973-12-31
425,North America,South America,0.04323180634637459,1973-01-01,1973-12-31
