Source,Target,timeset,weight
TUN,USA,"<[1979, 1980]>",0.07447427939526058
ARE,NLD,"<[1980, 1981]>",0.02330713309229455
ARE,PRT,"<[1980, 1981]>",0.016937708592926023
ARE,USA,"<[1980, 1981]>",0.10322041728459794
BHR,NLD,"<[1980, 1981]>",0.00020742759315868243
BHR,USA,"<[1980, 1981]>",0.014900819919876815
DZA,NLD,"<[1980, 1981]>",0.012442503231513278
DZA,PRT,"<[1980, 1981]>",0.0014134418084894062
DZA,USA,"<[1980, 1981]>",0.5015666342263174
EGY,NLD,"<[1980, 1981]>",0.019907638028778717
EGY,PRT,"<[1980, 1981]>",0.0018093131944610602
EGY,USA,"<[1980, 1981]>",0.09769339701703175
IRQ,NLD,"<[1980, 1981]>",0.00553844175108434
IRQ,PRT,"<[1980, 1981]>",0.030011346859140295
IRQ,USA,"<[1980, 1981]>",0.013879152591131535
KWT,NLD,"<[1980, 1981]>",0.0998609607108548
KWT,USA,"<[1980, 1981]>",0.031670434394436786
LBY,NLD,"<[1980, 1981]>",0.01014347278839919
LBY,PRT,"<[1980, 1981]>",0.00031774116095943856
LBY,USA,"<[1980, 1981]>",0.37573969179923294
QAT,NLD,"<[1980, 1981]>",0.13480347862888664
QAT,USA,"<[1980, 1981]>",0.04339329917374178
SAU,NLD,"<[1980, 1981]>",0.048602476718483806
SAU,PRT,"<[1980, 1981]>",0.002595634232960994
SAU,USA,"<[1980, 1981]>",0.1376353424579722
SAU,ZAF,"<[1980, 1981]>",1.656492499923321e-06
SYR,NLD,"<[1980, 1981]>",0.006273801187809163
SYR,USA,"<[1980, 1981]>",0.01586954732775424
TUN,NLD,"<[1980, 1981]>",0.034480688772983895
